Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
CHF 10500;Sport Boat;;Used boat;;3.38;1.36;Wood;Switzerland; Sempachersee
EUR 9750;Trawler;Gouwerok power boats;Used boat;;8.5;3.0;Steel;Netherlands; Sneek
CHF 10500;Fishing Boat;Marino CN power boats;Used boat;;4.5;1.95;GRP;Switzerland; Lago Maggiore
CHF 10500;Fishing Boat;Orkney power boats;Used boat;;;;;Switzerland; Einigen
CHF 10450;Sport Boat;Marine power boats;new boat from stock;;4.45;1.67;Aluminium;Switzerland; Lake of Zurich
EUR 9650;Sport Boat;;Used boat;;5.5;2.2;GRP;Germany; BUDENHEIM/RHEIN
CHF 10400;Sport Boat;Draco power boats;Used boat;;6.0;2.3;GRP;Switzerland; Diessenhofen 
EUR 9599;Cabin Boat;Crescent power boats;;Unleaded;5.65;2.2;GRP;Germany; Verkaufshafen Brandenburg-Plaue
EUR 9575;Sport Boat;Sting power boats;new boat from stock;;4.88;2.03;GRP;Germany; Grevenbroich
CHF 10350;Sport Boat;Linder power boats;new boat from stock;;4.51;1.75;Aluminium;Switzerland; Lake Constance
EUR 9553;Motor Yacht;Moonday power boats;new boat from stock;;4.8;2.0;GRP;Netherlands; Lemmer
EUR 9500;Cabin Boat;Gouwerok power boats;Used boat;;8.4;2.85;Steel;Netherlands; In verkoophaven
EUR 9500;Sport Boat;Trimarchi  power boats;new boat from stock;;5.7;2.1;GRP;Italy; Lombardia - Trentino Alto Adige
EUR 9500;Motor Yacht;Cox Marine power boats;Used boat;;6.8;2.5;GRP;Germany; Brandenburg
EUR 9500;Cabin Boat;;Used boat;;9.0;3.0;Steel;Netherlands; Winsum
EUR 9500;Launch;Majoni power boats;Used boat;;3.99;1.74;;Spain; Balearic Islands
CHF 11000;Sport Boat;Supra power boats;Used boat;;6.18;2.42;GRP;Switzerland; Luganersee
CHF 11000;Pontoon Boat;Mändli power boats;Used boat;;7.0;1.9;Wood;Switzerland; Beringen
CHF 11000;Fishing Boat;Mändli power boats;Used boat;;6.0;1.6;GRP;Switzerland; Rhein
CHF 10990;Sport Boat;Buster power boats;new boat from stock;;4.43;1.82;Aluminium;Switzerland; Safenwil
EUR 10115;Sport Boat;Italmar power boats;new boat from stock;;4.99;2.1;GRP;Germany; Wesel
